,BD,SVA,MVA
616,3.63,0.61573627,47.11304142
617,3.635,0.614586052,48.74798282
618,3.64,0.615109176,49.917679
619,3.645,0.606343412,50.67014859
620,3.65,0.634633747,49.2181849
621,3.655,0.611795152,49.89668919
622,3.66,0.626789624,50.23941267
623,3.665,0.620989848,48.20108473
624,3.67,0.611183492,48.58983969
625,3.675,0.617548704,47.17998874
626,3.68,0.63171958,48.54488249
627,3.685,0.611704301,50.35479138
628,3.69,0.612426886,51.84144167
629,3.695,0.62419041,44.46296527
630,3.7,0.606734912,49.41878504
631,3.705,0.627003139,56.17710811
632,3.71,0.630891389,51.57006888
633,3.715,0.608103237,50.78901605
634,3.72,0.610560325,50.68917001
635,3.725,0.607649817,51.86137459
636,3.73,0.606570254,53.68004535
637,3.735,0.620203128,49.47206243
638,3.74,0.598291571,55.04379359
639,3.745,0.601928149,53.25108918
640,3.75,0.613043335,50.86248483
641,3.755,0.601388441,53.16451452
642,3.76,0.619766175,48.05235016
643,3.765,0.614967189,47.91617257
644,3.77,0.627603144,51.12720296
645,3.775,0.606408359,52.72321439
646,3.78,0.603147972,53.20031232
647,3.785,0.625415972,55.09686165
648,3.79,0.606544305,52.5571199
649,3.795,0.605641339,52.06019396
650,3.8,0.608755116,54.01978532
651,3.805,0.60413113,55.76747148
652,3.81,0.622910674,28.80257502
653,3.815,0.604422729,52.92078193
654,3.82,0.600369187,52.82559174
655,3.825,0.606832264,53.24008327
656,3.83,0.607721577,51.99773767
657,3.835,0.60728448,52.56270703
658,3.84,0.602898436,54.28759833
659,3.845,0.60697945,54.53688207
660,3.85,0.612582029,51.07944537
661,3.855,0.603436185,53.00946041
662,3.86,0.599094695,56.18786608
663,3.865,0.594398315,56.6404701
664,3.87,0.621893682,55.61758274
665,3.875,0.60329152,56.31047419
666,3.88,0.604797318,56.91909372
667,3.885,0.608596624,48.48030442
668,3.89,0.608556956,65.42781597
669,3.895,0.603964015,64.73752899
670,3.9,0.590661985,59.98022038
671,3.905,0.585066979,48.78717298
672,3.91,0.601765458,55.94977368
673,3.915,0.605891744,80.84583145
674,3.92,0.587730953,59.37508736
675,3.925,0.597305915,58.26132184
676,3.93,0.606584096,53.19263658
677,3.935,0.593565218,58.3939587
678,3.94,0.621163208,57.4814858
679,3.945,0.588016091,60.16669754
680,3.95,0.610730219,69.35251519
681,3.955,0.598175995,58.62726837
682,3.96,0.61401475,48.41088192
683,3.965,0.598724269,58.48335072
684,3.97,0.619176276,56.76064682
685,3.975,0.618045837,55.86304282
686,3.98,0.594316588,56.56231445
687,3.985,0.599553834,54.33998218
688,3.99,0.618889455,81.32611568
689,3.995,0.610153763,68.27442057
690,4,0.601794747,59.49488313
691,4.005,0.595718995,57.97187248
692,4.01,0.608914161,56.22616787
693,4.015,0.593167133,57.32795921
694,4.02,0.617749438,60.36005247
695,4.025,0.600245356,56.61868572
696,4.03,0.609219677,59.39165978
697,4.035,0.612952724,59.11655319
698,4.04,0.60712603,60.99810857
699,4.045,0.601389232,85.47822561
700,4.05,0.584855563,62.08717375
701,4.055,0.580630686,63.67639981
702,4.06,0.604694976,61.27163362
703,4.065,0.589343945,60.86205755
704,4.07,0.582098914,64.07724808
705,4.075,0.587905294,64.50192697
706,4.08,0.576789414,64.01956834
707,4.085,0.589037025,67.63533446
708,4.09,0.58461056,62.0677404
709,4.095,0.575479804,63.49731372
710,4.1,0.580927078,63.6328428
711,4.105,0.594334496,64.77456494
712,4.11,0.596262108,64.0214412
713,4.115,0.583178649,63.67332596
714,4.12,0.599273687,63.32920759
715,4.125,0.606588979,61.77048625
716,4.13,0.58267248,61.84349948
717,4.135,0.579001924,63.70113263
718,4.14,0.605451381,82.7943709
719,4.145,0.603016398,63.11928367
720,4.15,0.591008748,63.45841415
721,4.155,0.584522243,60.92570818
722,4.16,0.582554523,55.4254018
723,4.165,0.587730877,59.56571071
724,4.17,0.609240832,61.71301469
725,4.175,0.60462628,60.43161573
726,4.18,0.606100809,61.2764892
727,4.185,0.603719,60.9212827
728,4.19,0.583144462,61.76508327
729,4.195,0.600299468,65.51622444
730,4.2,0.595123256,54.40491487
731,4.205,0.578328012,62.89147072
732,4.21,0.593649955,55.66092404
733,4.215,0.57388451,60.87872347
734,4.22,0.585833089,63.32134507
735,4.225,0.590082281,62.33467521
736,4.23,0.596229718,66.29147669
737,4.235,0.594159282,65.24432713
738,4.24,0.578669077,67.9442603
739,4.245,0.562911667,69.48936884
740,4.25,0.57304755,67.31145005
741,4.255,0.563982517,67.77968043
742,4.26,0.566437574,69.31907817
743,4.265,0.584858652,68.72414725
744,4.27,0.565886715,70.17905969
745,4.275,0.561258217,71.09717682
746,4.28,0.578962617,62.59603699
747,4.285,0.56641421,69.8719784
748,4.29,0.584835909,68.83794036
749,4.295,0.586194909,69.21226128
750,4.3,0.587064936,69.44396439
751,4.305,0.573912982,68.43369357
752,4.31,0.59668192,65.24954135
753,4.315,0.578064022,71.60735037
754,4.32,0.590642869,69.09434344
755,4.325,0.579730782,64.9201532
756,4.33,0.567819415,68.19244144
757,4.335,0.590197114,66.78260637
758,4.34,0.586706721,68.6150426
759,4.345,0.572924999,67.13801436
760,4.35,0.575184565,67.7658904
761,4.355,0.596706572,66.55436487
762,4.36,0.589298187,64.76918722
763,4.365,0.581484351,64.99655633
764,4.37,0.5684663,66.63303882
765,4.375,0.571089458,68.08482263
766,4.38,0.585385905,75.08492024
767,4.385,0.589838085,66.47538655
768,4.39,0.568905639,69.18910452
769,4.395,0.569068392,67.6271652
770,4.4,0.584371324,68.50975894
771,4.405,0.563428382,70.94736653
772,4.41,0.570569619,69.10147585
773,4.415,0.564108329,71.70433507
774,4.42,0.551146487,73.0343723
775,4.425,0.577509075,68.71014261
